zone,year_month,consumption_m3
Kawempe,2021-11,704411
Kawempe,2021-12,387729
Kawempe,2022-01,312527
Kawempe,2022-02,969706
Kawempe,2022-03,796801
Kawempe,2022-04,230298
Kawempe,2022-05,501041
Kawempe,2022-06,766529
Kawempe,2022-07,452614
Kawempe,2022-08,583348
Kawempe,2022-09,548337
Kawempe,2022-10,532979
Kawempe,2022-11,826230
Kawempe,2022-12,215774
Kawempe,2023-01,221519
Kawempe,2023-02,994785
Kawempe,2023-03,268352
Kawempe,2023-04,448473
Kawempe,2023-05,852033
Kawempe,2023-06,841583
Kawempe,2023-07,655247
Kawempe,2023-08,1062414
Kawempe,2023-09,502602
Kawempe,2023-10,939156
Kawempe,2023-11,376039
Kawempe,2023-12,385337
Kawempe,2024-01,296806
Kawempe,2024-02,982091
Kawempe,2024-03,294542
Kawempe,2024-04,433530
Kawempe,2024-05,383554
Kawempe,2024-06,690529
Kawempe,2024-07,410143
Kawempe,2024-08,875819
Kawempe,2024-09,446793
Kawempe,2024-10,294243
Kawempe,2024-11,577948
Kawempe,2024-12,776330
Nakawa,2020-01,499741
Nakawa,2020-02,348452
Nakawa,2020-03,332172
Nakawa,2020-04,799438
Nakawa,2020-05,471101
Nakawa,2020-06,309825
Nakawa,2020-07,631842
Nakawa,2020-08,472308
Nakawa,2020-09,305494
Nakawa,2020-10,801543
Nakawa,2020-11,689878
Nakawa,2020-12,351292
Nakawa,2021-01,298040
Nakawa,2021-02,922820
Nakawa,2021-03,1058499
Nakawa,2021-04,962236
Nakawa,2021-05,679761
Nakawa,2021-06,907261
Nakawa,2021-07,761539
Nakawa,2021-08,781877
Nakawa,2021-09,304044
Nakawa,2021-10,779673
Nakawa,2021-11,1143636
Nakawa,2021-12,667436
Nakawa,2022-01,693569
Nakawa,2022-02,388944
Nakawa,2022-03,698163
Nakawa,2022-04,580309
Nakawa,2022-05,843704
Nakawa,2022-06,461822
Nakawa,2022-07,1046176
Nakawa,2022-08,247568
Nakawa,2022-09,983275
Nakawa,2022-10,987551
Nakawa,2022-11,219945
Nakawa,2022-12,865761
Nakawa,2023-01,527974
Nakawa,2023-02,619584
Nakawa,2023-03,803787
Nakawa,2023-04,810132
Nakawa,2023-05,789922
Nakawa,2023-06,1113338
Nakawa,2023-07,622723
Nakawa,2023-08,726123
Nakawa,2023-09,723963
Nakawa,2023-10,554879
Nakawa,2023-11,236595
Nakawa,2023-12,559836
Nakawa,2024-01,1142489
Nakawa,2024-02,464782
Nakawa,2024-03,1018334
Nakawa,2024-04,711832
Nakawa,2024-05,392907
Nakawa,2024-06,265438
Nakawa,2024-07,556903
Nakawa,2024-08,862934
Nakawa,2024-09,797877
Nakawa,2024-10,592288
Nakawa,2024-11,1022176
Nakawa,2024-12,561902
Rubaga,2020-01,983153
Rubaga,2020-02,373618
Rubaga,2020-03,500535
Rubaga,2020-04,1136778
Rubaga,2020-05,1014431
Rubaga,2020-06,506295
Rubaga,2020-07,263968
Rubaga,2020-08,1057195
Rubaga,2020-09,779710
Rubaga,2020-10,343464
Rubaga,2020-11,271037
Rubaga,2020-12,793386
Rubaga,2021-01,1075708
Rubaga,2021-02,784367
Rubaga,2021-03,764446
Rubaga,2021-04,702450
Rubaga,2021-05,239118
Rubaga,2021-06,353725
Rubaga,2021-07,512690
Rubaga,2021-08,464956
Rubaga,2021-09,1135026
Rubaga,2021-10,781495
Rubaga,2021-11,426137
Rubaga,2021-12,531224
Rubaga,2022-01,861816
Rubaga,2022-02,777216
Rubaga,2022-03,1126897
Rubaga,2022-04,336115
Rubaga,2022-05,914311
Rubaga,2022-06,286978
Rubaga,2022-07,982793
Rubaga,2022-08,1007293
Rubaga,2022-09,852566
Rubaga,2022-10,466002
Rubaga,2022-11,1163346
Rubaga,2022-12,749867
Rubaga,2023-01,757675
Rubaga,2023-02,1052292
Rubaga,2023-03,496855
Rubaga,2023-04,907628
Rubaga,2023-05,434461
Rubaga,2023-06,857690
Rubaga,2023-07,684262
Rubaga,2023-08,663961
Rubaga,2023-09,603322
Rubaga,2023-10,1122859
Rubaga,2023-11,477873
Rubaga,2023-12,561722
Rubaga,2024-01,865612
Rubaga,2024-02,339528
Rubaga,2024-03,345699
Rubaga,2024-04,387104
Rubaga,2024-05,335774
Rubaga,2024-06,806467
Rubaga,2024-07,928700
Rubaga,2024-08,719877
Rubaga,2024-09,748914
Rubaga,2024-10,893745
Rubaga,2024-11,767206
Rubaga,2024-12,1208852
