Column Name,Category A,Category B,Units (data type) ,Meaning/Formula/ ,Sheet name,Country,Comments,Granularity / Range rules,Frequency
water_resources,Access and Coverage,,Number,total renewable resources available,all_nationalacc_lesotho,Lesotho,,city,year
trained_staff,Access and Coverage,,Number,trained staff,all_nationalacc_lesotho,Lesotho,,city,year
complaint_resolution,Access and Coverage,,Time,complaint resolution time,all_nationalacc_lesotho,Lesotho,,city,year
registered_wtps,Access and Coverage,,Number,registered water treatment plants,all_nationalacc_lesotho,Lesotho,,city,year
inspected_wtps,Access and Coverage,,Number,inspected water treatment plants,all_nationalacc_lesotho,Lesotho,,city,year
total_service_providers,Access and Coverage,,Number,private and public service providers,all_nationalacc_lesotho,Lesotho,,city,year
licensed_service_providers,Access and Coverage,,Number,licensed service providers,all_nationalacc_lesotho,Lesotho,,city,year
asset_health,Access and Coverage,,Number,asset health index,all_nationalacc_lesotho,Lesotho,,city,year
staff_training_budget,Production and Billing,,Currency,budget allocated for staff management,all_nationalacc_lesotho,Lesotho,,city,year
country,,,N/A (Categorical),Country,all_fin_service_uganda,Uganda,,country,
city,,,N/A (Categorical),City,all_fin_service_uganda,Uganda,,city,
date,,,,Date,all_fin_service_uganda,Uganda,,city,
sewer_length,Access and Coverage ,,Kilometers (km),Total sewer network length (km) maintained per year,all_fin_service_uganda,Uganda,,city,year
sewer_billed,Production and Billing,,Currency ( UGX),Total sewer billing per month (UGX),all_fin_service_uganda,Uganda,,city,month
sewer_revenue,Production and Billing,,Currency ( UGX),Total sewer revenue collected per month (UGX),all_fin_service_uganda,Uganda,,city,month
opex,Production and Billing,,Currency ( UGX),Monthly operational expenditure (UGX),all_fin_service_uganda,Uganda,,city,month
san_staff,Access and Coverage ,,Count (number of people),Number of sanitation staff employed monthly,all_fin_service_uganda,Uganda,,city,month
w_staff,Access and Coverage ,,Count (number of people),Number of water staff employed monthly,all_fin_service_uganda,Uganda,,city,month
country,,,N/A (Categorical),Country,all_nationalacc_uganda,Uganda,,,
city,,,N/A (Categorical),City,all_nationalacc_uganda,Uganda,,city,
date,,,N/A (Temporal),Date,all_nationalacc_uganda,Uganda,,city,
budget_allocated,Access and Coverage ,Production and Billing,Currency ( UGX),total allocated budget_WASH,all_nationalacc_uganda,Uganda,,city,
san_allocation,Access and Coverage ,,Currency ( UGX),% sanitation allocation,all_nationalacc_uganda,Uganda,,city,
wat_allocation,Access and Coverage ,,Currency ( UGX),% water allocation,all_nationalacc_uganda,Uganda,,city,
staff_cost,Production and Billing,,Currency ( UGX),staff cost - annual HR,all_nationalacc_uganda,Uganda,,city,year
water_resources,Water Quality ,,Cubic meters per year (m³/year),total renewable resources available,all_nationalacc_uganda,Uganda,,city,
trained_staff,Access and Coverage ,,Count (number of people),trained staff,all_nationalacc_uganda,Uganda,,city,
staff_training_budget,Production and Billing,,Currency ( UGX),budget allocated for staff management,all_nationalacc_uganda,Uganda,,city,
date,,,,Date,billing_uganda,Uganda,,Country/ source??,
source,Production and Billing,,N/A (Categorical),Extraction source,billing_uganda,Uganda,,,
production_m3,Production and Billing,Access and Coverage ,Cubic meters (m³),Production volume,billing_uganda,Uganda,,,
service_hours,Access and Coverage ,,Hours,Number of hours of service,billing_uganda,Uganda,,,
country,,,N/A (Categorical),Country,billing_uganda,Uganda,,country,
