country,zone,date,households,sewer_connections,public_toilets,workforce,f_workforce,ww_collected,ww_treated,ww_reused,w_supplied,hh_emptied,fs_treated,fs_reused
lesotho,Maseru Rural Council,Jul-21,13807,655,21,22,13,21548,12744,7043,166739,3348,146835,95936
lesotho,Maseru Rural Council,Aug-21,13807,655,23,24,12,36717,24520,16644,347255,3236,21686,16716
lesotho,Maseru Rural Council,Sep-21,13807,655,21,23,12,88027,51490,34229,156321,3755,26484,19002
lesotho,Maseru Rural Council,Oct-21,13807,655,20,24,12,36167,21200,16283,117185,4717,146738,116526
lesotho,Maseru Rural Council,Nov-21,13807,655,23,25,14,46042,28001,19386,275991,3691,157549,122282
lesotho,Maseru Rural Council,Dec-21,13807,655,23,24,14,6521,3713,2088,145048,4001,152640,80935
lesotho,Maseru Rural Council,Jan-22,13871,603,28,20,16,62904,42531,23810,337960,3628,115225,76350
lesotho,Maseru Rural Council,Feb-22,13871,603,28,23,16,11160,7204,5759,259435,4102,129566,105088
lesotho,Maseru Rural Council,Mar-22,13871,603,25,20,12,81211,50997,27969,496989,4615,19930,11969
lesotho,Maseru Rural Council,Apr-22,13871,603,25,21,15,87846,62670,43956,129749,3548,52200,34008
lesotho,Maseru Rural Council,May-22,13871,603,26,22,16,68795,38680,27956,209160,3502,102875,56769
lesotho,Maseru Rural Council,Jun-22,13871,603,27,22,15,23531,17041,9482,124512,4849,141397,93297
lesotho,Maseru Rural Council,Jul-22,13871,603,26,22,16,92014,73481,54249,444114,2944,127476,66951
lesotho,Maseru Rural Council,Aug-22,13871,603,25,22,13,24077,16592,11763,136210,3253,142599,95559
lesotho,Maseru Rural Council,Sep-22,13871,603,25,21,12,77387,40007,31229,389799,2885,66620,39576
lesotho,Maseru Rural Council,Oct-22,13871,603,28,22,12,47218,25822,19566,497697,4112,50886,30950
lesotho,Maseru Rural Council,Nov-22,13871,603,28,22,15,76661,53753,42390,200331,4677,92045,56676
lesotho,Maseru Rural Council,Dec-22,13871,603,26,21,16,11422,8515,5951,177030,4464,94801,57098
lesotho,Maseru Rural Council,Jan-23,14807,694,70,17,6,41944,24725,12700,174320,5141,50673,40345
lesotho,Maseru Rural Council,Feb-23,14807,694,71,17,9,19464,13589,6809,217546,5015,83204,66558
lesotho,Maseru Rural Council,Mar-23,14807,694,69,16,8,49033,35276,26176,160073,3374,70607,54351
lesotho,Maseru Rural Council,Apr-23,14807,694,74,16,10,66934,51868,39165,271077,3352,134123,111829
lesotho,Maseru Rural Council,May-23,14807,694,74,16,10,15591,12162,6982,290858,4802,95962,62810
lesotho,Maseru Rural Council,Jun-23,14807,694,70,16,6,62204,45353,26576,452808,4667,148227,117175
lesotho,Maseru Rural Council,Jul-23,14807,694,72,15,8,87363,53306,34464,253708,4895,146602,92467
lesotho,Maseru Rural Council,Aug-23,14807,694,72,17,9,10983,5883,3493,356422,4569,124634,103365
lesotho,Maseru Rural Council,Sep-23,14807,694,74,17,7,38196,22070,15722,254652,4425,50551,41346
lesotho,Maseru Rural Council,Oct-23,14807,694,70,15,6,93391,65522,46915,407124,5002,119365,88065
lesotho,Maseru Rural Council,Nov-23,14807,694,70,17,9,85492,56159,43286,288538,5095,72789,39455
lesotho,Maseru Rural Council,Dec-23,14807,694,73,17,6,11718,8432,4398,123539,4835,28833,15094
lesotho,Maseru Rural Council,Jan-24,14836,704,92,16,11,65017,51263,28297,351535,3191,130592,65632
lesotho,Maseru Rural Council,Feb-24,14836,704,91,19,8,12067,7033,5505,452085,5045,56656,37195
lesotho,Maseru Rural Council,Mar-24,14836,704,90,16,8,9624,5193,3405,412451,3130,134315,79061
lesotho,Maseru Rural Council,Apr-24,14836,704,90,18,11,18120,10001,6489,339048,3285,125175,92052
lesotho,Maseru Rural Council,May-24,14836,704,90,16,11,15038,9960,5530,208867,3178,168700,105405
lesotho,Maseru Rural Council,Jun-24,14836,704,91,18,10,92853,62618,37899,379606,3693,11905,7944
lesotho,Maseru Rural Council,Jul-24,14836,704,90,16,11,29384,15978,10730,350571,3163,29491,21322
lesotho,Maseru Rural Council,Aug-24,14836,704,93,19,8,52745,29472,21011,365186,3825,36930,28704
lesotho,Maseru Rural Council,Sep-24,14836,704,92,16,11,86681,58212,44995,326278,5064,151196,113888
lesotho,Maseru Rural Council,Oct-24,14836,704,94,16,10,31901,20821,13005,255443,3890,31715,22114
lesotho,Maseru Rural Council,Nov-24,14836,704,93,17,10,81466,64268,49334,424167,5052,60919,44359
lesotho,Maseru Rural Council,Dec-24,14836,704,94,19,8,75157,42698,25499,303488,4549,45472,33715
lesotho,Maseru Urban Council,Jan-20,48080,1060,34,17,4,43212,34185,22230,296057,10789,52770,31956
lesotho,Maseru Urban Council,Feb-20,48080,1060,35,18,5,32984,18468,11211,465472,10599,52425,41946
lesotho,Maseru Urban Council,Mar-20,48080,1060,36,17,4,59789,32105,23291,305956,16137,114706,69475
lesotho,Maseru Urban Council,Apr-20,48080,1060,34,19,4,26226,15386,9832,138151,14516,105423,69766
lesotho,Maseru Urban Council,May-20,48080,1060,36,18,6,54239,37031,28345,219649,11616,39597,26409
lesotho,Maseru Urban Council,Jun-20,48080,1060,32,18,6,24960,13875,7722,206422,11823,27457,17759
lesotho,Maseru Urban Council,Jul-20,48080,1060,32,17,5,65376,49082,30596,494459,11529,82862,65315
lesotho,Maseru Urban Council,Aug-20,48080,1060,32,18,3,79916,55696,27924,224097,13348,158594,87464
lesotho,Maseru Urban Council,Sep-20,48080,1060,37,19,5,18207,13398,6721,266962,10114,127098,84312
lesotho,Maseru Urban Council,Oct-20,48080,1060,33,18,3,38310,24470,14371,279372,13659,11843,6418
lesotho,Maseru Urban Council,Nov-20,48080,1060,34,17,5,54358,31687,25300,473734,10828,29865,17141
lesotho,Maseru Urban Council,Dec-20,48080,1060,35,17,6,26984,19017,14768,420208,11659,70858,57320
lesotho,Maseru Urban Council,Jan-21,47565,2237,47,33,9,56078,35998,20135,332098,11074,32125,26097
lesotho,Maseru Urban Council,Feb-21,47565,2237,51,32,9,31844,23689,17132,361167,15985,72032,36355
lesotho,Maseru Urban Council,Mar-21,47565,2237,52,34,9,94744,58907,39729,468690,13319,129055,83185
lesotho,Maseru Urban Council,Apr-21,47565,2237,49,31,10,63876,39988,27074,394003,12065,119460,91491
lesotho,Maseru Urban Council,May-21,47565,2237,50,31,11,17366,11144,7578,474505,11403,96660,78788
lesotho,Maseru Urban Council,Jun-21,47565,2237,51,33,9,39508,28928,23084,225023,15107,131502,83773
lesotho,Maseru Urban Council,Jul-21,47565,2237,51,34,7,29007,21959,15011,219089,13736,36183,27670
lesotho,Maseru Urban Council,Aug-21,47565,2237,48,31,7,83567,43573,31697,284414,14921,60402,45789
lesotho,Maseru Urban Council,Sep-21,47565,2237,50,31,8,21858,16532,10572,433740,12666,98408,70312
lesotho,Maseru Urban Council,Oct-21,47565,2237,47,32,11,46977,36487,23642,444889,14446,67966,35460
lesotho,Maseru Urban Council,Nov-21,47565,2237,49,33,7,36272,22033,11897,303428,10675,37533,25623
lesotho,Maseru Urban Council,Dec-21,47565,2237,51,34,7,78735,53367,30655,114270,12258,142534,81053
lesotho,Maseru Urban Council,Jan-22,49730,2474,89,33,11,96764,63149,34557,177007,15063,61282,35306
lesotho,Maseru Urban Council,Feb-22,49730,2474,88,33,10,9976,5450,2916,141590,12087,53936,35583
lesotho,Maseru Urban Council,Mar-22,49730,2474,88,33,11,51598,32080,19137,252540,10868,137318,106061
lesotho,Maseru Urban Council,Apr-22,49730,2474,89,33,13,28096,19704,15569,169465,16585,121889,67451
lesotho,Maseru Urban Council,May-22,49730,2474,88,36,14,91231,66634,53270,436545,11941,149196,112409
lesotho,Maseru Urban Council,Jun-22,49730,2474,90,35,12,49376,27941,20977,358983,10390,118850,87919
lesotho,Maseru Urban Council,Jul-22,49730,2474,87,34,10,22014,15960,11893,184963,12631,83186,67585
lesotho,Maseru Urban Council,Aug-22,49730,2474,90,33,10,38533,19480,11224,389880,16062,11111,9432
lesotho,Maseru Urban Council,Sep-22,49730,2474,89,36,13,37839,29277,15833,239789,11556,50626,34881
lesotho,Maseru Urban Council,Oct-22,49730,2474,89,35,10,31071,23050,13696,232149,10237,73992,47185
lesotho,Maseru Urban Council,Nov-22,49730,2474,90,34,10,42678,23895,15323,116075,13643,107492,71652
lesotho,Maseru Urban Council,Dec-22,49730,2474,91,33,14,32019,17149,13560,129492,14412,82693,54575
lesotho,Maseru Urban Council,Jan-23,50876,2256,94,31,16,76119,46656,24215,170569,17507,61189,49811
lesotho,Maseru Urban Council,Feb-23,50876,2256,95,33,12,42786,30100,22434,293678,16817,120877,64514
lesotho,Maseru Urban Council,Mar-23,50876,2256,94,31,16,90290,51360,27148,237620,10827,50930,33791
lesotho,Maseru Urban Council,Apr-23,50876,2256,95,33,16,16225,8543,5831,411182,11499,95596,48670
lesotho,Maseru Urban Council,May-23,50876,2256,96,31,12,23582,18025,12942,473986,10312,150292,125879
lesotho,Maseru Urban Council,Jun-23,50876,2256,96,33,15,93091,69301,36838,100385,15482,162343,93572
lesotho,Maseru Urban Council,Jul-23,50876,2256,94,32,14,75376,48524,32723,462424,10646,69423,54654
lesotho,Maseru Urban Council,Aug-23,50876,2256,99,33,12,61274,31385,23207,431580,12243,68116,45811
lesotho,Maseru Urban Council,Sep-23,50876,2256,96,34,14,77132,39784,20338,472016,16092,169251,103743
lesotho,Maseru Urban Council,Oct-23,50876,2256,94,33,13,55367,38280,26373,130627,14314,41103,29933
lesotho,Maseru Urban Council,Nov-23,50876,2256,94,34,14,76754,39783,20624,285328,14900,138808,89591
lesotho,Maseru Urban Council,Dec-23,50876,2256,97,34,13,71037,44919,23572,442011,10792,153827,128802
lesotho,Maseru Urban Council,Jan-24,52570,2232,50,27,4,37399,21190,11815,331879,14278,59399,39179
lesotho,Maseru Urban Council,Feb-24,52570,2232,50,27,8,49826,26750,19830,198300,17725,92799,74242
lesotho,Maseru Urban Council,Mar-24,52570,2232,48,30,7,50341,36749,19375,188288,16729,108944,68221
lesotho,Maseru Urban Council,Apr-24,52570,2232,50,28,5,98524,65253,51181,272423,15786,46087,23825
lesotho,Maseru Urban Council,May-24,52570,2232,48,28,6,68833,39980,21106,479600,13307,142032,116235
lesotho,Maseru Urban Council,Jun-24,52570,2232,50,30,5,97084,49089,25737,277552,15848,107644,64125
lesotho,Maseru Urban Council,Jul-24,52570,2232,47,29,8,33080,21591,13687,220634,17741,138606,81038
lesotho,Maseru Urban Council,Aug-24,52570,2232,51,30,4,31283,24544,14578,116984,13513,32055,23068
lesotho,Maseru Urban Council,Sep-24,52570,2232,48,29,4,28417,14421,7241,478132,16773,117080,80450
lesotho,Maseru Urban Council,Oct-24,52570,2232,49,29,7,96630,52549,41031,380423,10906,160970,125587
lesotho,Maseru Urban Council,Nov-24,52570,2232,49,27,4,6857,4739,2616,371348,17458,26671,20816
lesotho,Maseru Urban Council,Dec-24,52570,2232,50,29,7,39219,20720,12307,127506,14492,83944,47800
lesotho,Rural Hinterland,Jan-20,20561,1016,93,25,6,93164,68729,51710,245668,4275,41507,32570
lesotho,Rural Hinterland,Feb-20,20561,1016,91,26,8,94072,63900,41026,118681,5009,107548,67901
lesotho,Rural Hinterland,Mar-20,20561,1016,94,24,5,28047,21026,10764,403014,6976,169479,116088
lesotho,Rural Hinterland,Apr-20,20561,1016,92,26,8,22115,12153,9441,371357,5004,127992,107845
lesotho,Rural Hinterland,May-20,20561,1016,94,25,5,39840,24355,18469,192421,6034,145403,118214
lesotho,Rural Hinterland,Jun-20,20561,1016,95,26,7,33447,18771,9840,481505,6173,89458,52742
lesotho,Rural Hinterland,Jul-20,20561,1016,93,23,4,77407,44920,23574,490051,5200,42683,22143
lesotho,Rural Hinterland,Aug-20,20561,1016,95,26,8,96532,66975,44878,113613,4730,118551,70256
lesotho,Rural Hinterland,Sep-20,20561,1016,91,26,5,35569,23746,17959,260251,4275,45341,35185
lesotho,Rural Hinterland,Oct-20,20561,1016,93,24,4,67614,53718,33266,265503,7169,32551,22805
lesotho,Rural Hinterland,Nov-20,20561,1016,92,25,8,35741,24276,12793,266145,5528,131157,72927
lesotho,Rural Hinterland,Dec-20,20561,1016,93,23,8,5384,4084,2072,443672,6873,85332,60158
lesotho,Rural Hinterland,Jan-21,20965,824,17,20,12,17797,11624,7550,378317,4788,23774,13623
lesotho,Rural Hinterland,Feb-21,20965,824,19,17,11,85410,51727,28169,189760,7297,88246,56989
lesotho,Rural Hinterland,Mar-21,20965,824,17,20,10,74496,51767,39710,497306,6851,29273,17454
lesotho,Rural Hinterland,Apr-21,20965,824,20,17,13,84847,51835,30507,425721,6372,160889,115495
lesotho,Rural Hinterland,May-21,20965,824,22,17,13,55285,31671,18929,156379,4559,110491,79766
lesotho,Rural Hinterland,Jun-21,20965,824,18,19,11,77293,45219,34108,467163,6747,71960,51348
lesotho,Rural Hinterland,Jul-21,20965,824,18,18,9,47484,26547,13595,208254,4672,162509,110565
lesotho,Rural Hinterland,Aug-21,20965,824,19,19,9,69994,51116,34854,226000,4264,158488,117928
lesotho,Rural Hinterland,Sep-21,20965,824,19,19,9,77806,50864,30375,167791,5616,50129,27291
lesotho,Rural Hinterland,Oct-21,20965,824,22,18,11,11106,6901,5159,352914,5649,108402,78656
lesotho,Rural Hinterland,Nov-21,20965,824,21,19,9,52310,37537,21870,317015,5894,160102,81473
lesotho,Rural Hinterland,Dec-21,20965,824,17,19,12,6493,3617,2501,152125,4685,59174,40871
lesotho,Rural Hinterland,Jan-22,21030,792,54,25,8,51912,32644,24510,404771,6399,155667,103685
lesotho,Rural Hinterland,Feb-22,21030,792,55,26,11,97134,54534,40538,210534,5726,20996,12883
lesotho,Rural Hinterland,Mar-22,21030,792,53,25,7,30112,17692,10376,457876,4518,77931,48691
lesotho,Rural Hinterland,Apr-22,21030,792,50,26,10,36009,26045,14425,259781,5895,102079,79255
lesotho,Rural Hinterland,May-22,21030,792,53,26,11,94978,63792,35953,274633,4736,11835,5963
lesotho,Rural Hinterland,Jun-22,21030,792,52,26,8,28091,17441,10488,147644,5991,140343,83617
lesotho,Rural Hinterland,Jul-22,21030,792,50,25,10,44185,25476,19843,352120,6588,149148,80449
lesotho,Rural Hinterland,Aug-22,21030,792,51,27,7,28076,17260,8732,329791,6168,154173,92541
lesotho,Rural Hinterland,Sep-22,21030,792,55,24,7,29329,19236,10631,285320,4909,96867,48612
lesotho,Rural Hinterland,Oct-22,21030,792,54,26,10,52392,40660,24683,123224,5098,54727,31927
lesotho,Rural Hinterland,Nov-22,21030,792,55,26,7,40891,24015,16071,270442,5170,154897,82692
lesotho,Rural Hinterland,Dec-22,21030,792,52,26,10,81267,52051,28053,303031,4478,43166,25918
lesotho,Rural Hinterland,Jan-23,22144,468,68,21,7,81182,45195,31794,324590,6937,61033,50987
lesotho,Rural Hinterland,Feb-23,22144,468,69,19,6,26992,15082,8625,260799,7551,68230,34536
lesotho,Rural Hinterland,Mar-23,22144,468,69,20,8,95800,48617,28087,134497,5891,17430,10289
lesotho,Rural Hinterland,Apr-23,22144,468,70,21,8,27649,16810,9233,166379,5836,93017,54662
lesotho,Rural Hinterland,May-23,22144,468,70,20,7,81890,43662,25199,497433,7580,82049,56119
lesotho,Rural Hinterland,Jun-23,22144,468,72,22,6,55691,33421,25524,145704,4692,168959,113179
lesotho,Rural Hinterland,Jul-23,22144,468,68,20,10,29387,21056,11528,278330,7668,77825,44871
lesotho,Rural Hinterland,Aug-23,22144,468,70,19,6,70761,47217,35949,285395,5254,72531,59970
lesotho,Rural Hinterland,Sep-23,22144,468,69,19,7,51388,38090,28047,477500,7702,101628,56281
lesotho,Rural Hinterland,Oct-23,22144,468,72,21,9,50453,29057,22183,103882,5003,134972,77489
lesotho,Rural Hinterland,Nov-23,22144,468,73,22,7,6517,3386,1858,336516,5078,10149,7322
lesotho,Rural Hinterland,Dec-23,22144,468,68,19,10,62814,44437,32252,352652,7327,123957,81445
lesotho,Rural Hinterland,Jan-24,22831,551,55,28,15,19334,13444,9883,127583,4831,165578,134740
lesotho,Rural Hinterland,Feb-24,22831,551,55,28,14,57507,35791,20849,157324,4752,70484,44184
lesotho,Rural Hinterland,Mar-24,22831,551,54,29,16,61219,47234,33130,333999,7105,73941,45862
lesotho,Rural Hinterland,Apr-24,22831,551,53,27,14,85907,53758,42880,251559,5360,55877,35582
lesotho,Rural Hinterland,May-24,22831,551,56,28,13,80999,43270,23770,397647,4995,56021,44025
lesotho,Rural Hinterland,Jun-24,22831,551,55,29,15,6778,5400,3007,268776,4842,138461,86917
lesotho,Rural Hinterland,Jul-24,22831,551,57,28,14,32491,17690,11241,452082,4959,38207,26274
lesotho,Rural Hinterland,Aug-24,22831,551,52,30,16,98014,56644,33245,326713,7267,27353,14289
lesotho,Rural Hinterland,Sep-24,22831,551,57,30,17,14404,11238,6484,120132,6057,48581,39606
lesotho,Rural Hinterland,Oct-24,22831,551,54,29,13,36519,19399,14721,257719,7707,162196,103967
lesotho,Rural Hinterland,Nov-24,22831,551,57,27,17,74386,44724,27263,223794,5001,103578,76696
lesotho,Rural Hinterland,Dec-24,22831,551,56,28,14,46055,27219,19234,337805,7829,105151,69848
